Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1945	дипломатия	Q15990773	Дипломатия	P840	история происходит в месте	Париж	0	0	0	0	1944-01-01
1926	декабрист	Q30890577	Декабристы	P840	история происходит в месте	Российская империя	0	0	0	0	1826-01-01
[1924, 1929]	декабрист	Q4156933	Декабристы	P577	дата публикации	0	0	1927-02-08	0	0	0
1926	декабрист	Q4156933	Декабристы	P577	дата публикации	0	0	1926-01-01	0	0	0
[1945, 1955]	декабрист	Q30890577	Декабристы	P1191	первое исполнение	0	0	1953-06-23	0	0	0
[1924, 1929]	декабрист	Q2994200	Подводные лодки серии I «Декабрист»	P729	дата принятия в эксплуатацию	0	0	1928-01-01	0	0	0
1925	декабрист	Q30890577	Декабристы	P840	история происходит в месте	Российская империя	0	0	0	0	1825-01-01
[1937, 1946]	дружный	Q4168867	Дружное	P571	дата основания/создания/возникновения	0	0	1938-01-01	0	0	0
[2008, 2009]	дружный	Q4352064	Дружное	P131	административно-территориальная единица	Тургеневское сельское поселение	0	0	2008-06-30	2017-01-01	0
[1957, 1961]	доброволец	Q4163640	Добровольцы	P577	дата публикации	0	0	1958-01-01	0	0	0
[2000, 2006]	дарья	Q234149	Дарьё, Даниэль	P166	полученные награды	Серебряный медведь	0	0	0	0	2002-01-01
[1984, 1986]	дарья	Q234149	Дарьё, Даниэль	P166	полученные награды	премия «Сезар» за выдающиеся заслуги в кинематографе	0	0	0	0	1985-01-01
[2000, 2006]	дарья	Q234149	Дарьё, Даниэль	P166	полученные награды	премия Европейской киноакадемии лучшей актрисе	0	0	0	0	2002-01-01
[1932, 1940]	дзержинский	Q677658	Лубянка	P571	дата основания/создания/возникновения	0	0	1935-05-15	0	0	0
[1993, 1995]	дзержинский	Q2389715	Динамо	P571	дата основания/создания/возникновения	0	0	1994-01-01	0	0	0
1977	дзержинский	Q188570	Феликс Эдмундович Дзержинский	P569	дата рождения	0	0	1877-09-11	0	0	0
[1923, 1930]	дзержинский	Q188570	Феликс Эдмундович Дзержинский	P570	дата смерти	0	0	1926-07-20	0	0	0
1967	дзержинский	Q188570	Феликс Эдмундович Дзержинский	P2632	место содержания под стражей	Бутырская тюрьма	0	0	1916-01-01	1917-02-01	0
[1985, 1987]	дзержинский	Q4160805	Дзержинский	P730	дата вывода из эксплуатации	0	0	1986-10-12	0	0	0
[2004, 2009]	дзержинский	Q135189	Дзержинский	P131	административно-территориальная единица	Московская область	0	0	1996-09-04	2004-10-28	0
[2004, 2009]	дзержинский	Q135189	Дзержинский	P131	административно-территориальная единица	Городской округ Дзержинский	0	0	2004-10-29	0	0
[2004, 2009]	дзержинский	Q135189	Дзержинский	P1376	является столицей	Городской округ Дзержинский	0	0	2004-10-29	0	0
[1985, 1987]	дзержинский	Q4160800	Мудрёная	P1619	дата официального открытия	0	0	1986-12-26	0	0	0
[1923, 1930]	дзержинский	Q188570	Феликс Эдмундович Дзержинский	P39	занимаемая должность	Государственное политическое управление при НКВД РСФСР	0	0	1922-02-06	1923-11-15	0
[1993, 1995]	дзержинский	Q2389715	Динамо	P1619	дата официального открытия	0	0	1994-12-22	0	0	0
[1932, 1940]	дзержинский	Q677658	Лубянка	P1619	дата официального открытия	0	0	1935-05-15	0	0	0
[1971, 1973]	дьявол	Q655996	Дьяволы	P577	дата публикации	0	0	1971-01-01	0	0	0
[1977, 1978]	дельта	Q209114	Дельта	P571	дата основания/создания/возникновения	0	0	1977-01-01	0	0	0
[1987, 2000]	демон	Q5256287	Демоны	P577	дата публикации	0	0	1997-05-11	0	0	0
1941	демон	Q2453425	Демон	P577	дата публикации	0	0	1841-01-01	0	0	0
1993	демон	Q2601149	Демон	P17	государство	Россия	0	0	1991-01-01	0	0
1948	демон	Q2601149	Демон	P131	административно-территориальная единица	Курильский городской округ	0	0	1946-02-02	0	0
1993	демон	Q2601149	Демон	P17	государство	СССР	0	0	1945-01-01	1991-01-01	0
[1977, 1997]	драка	Q6422803	Драка	P577	дата публикации	0	0	1979-01-01	0	0	0
